,State,year,injuries,Hospitalized,Amputation,public,private,ratio,total,RTW,prez_red,Arm,BODY SYSTEMS,Back,Core,Foot,Groin,Hand,Head,Leg,Multiple,Nonclassifiable,Organ,Upper and lower limb(s),Whole body
0,ALABAMA,2015,305.0,235.0,108.0,3569.0,2904.0,0.813673297842533,6473.0,True,Republican,18.0,16.0,6.0,15.0,24.0,1.0,129.0,14.0,29.0,16.0,20.0,13.0,4.0,0.0
1,ALABAMA,2016,324.0,256.0,100.0,3392.0,3090.0,0.9109669811320755,6482.0,True,Republican,27.0,25.0,3.0,13.0,22.0,0.0,131.0,16.0,36.0,32.0,4.0,14.0,1.0,0.0
2,ALABAMA,2017,302.0,243.0,88.0,2874.0,3156.0,1.0981210855949897,6030.0,True,Republican,18.0,13.0,4.0,15.0,19.0,1.0,124.0,12.0,48.0,27.0,4.0,12.0,5.0,0.0
3,ALABAMA,2018,393.0,333.0,112.0,3360.0,4165.0,1.2395833333333333,7525.0,True,Republican,25.0,20.0,4.0,17.0,29.0,2.0,150.0,17.0,51.0,39.0,14.0,22.0,3.0,0.0
4,ALABAMA,2019,362.0,296.0,112.0,3723.0,6030.0,1.6196615632554392,9753.0,True,Republican,24.0,23.0,8.0,16.0,28.0,5.0,137.0,20.0,39.0,35.0,11.0,13.0,3.0,0.0
5,ALABAMA,2020,229.0,194.0,71.0,0.0,0.0,0.0,0.0,True,Republican,15.0,13.0,1.0,8.0,10.0,0.0,95.0,16.0,24.0,26.0,6.0,11.0,4.0,0.0
6,ALASKA,2015,1.0,1.0,0.0,3263.0,475.0,0.1455715599141894,3738.0,False,Republican,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,ALASKA,2016,4.0,3.0,1.0,2618.0,224.0,0.0855614973262032,2842.0,False,Republican,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
8,ALASKA,2017,2.0,2.0,0.0,1586.0,236.0,0.14880201765447668,1822.0,False,Republican,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
9,ALASKA,2018,7.0,7.0,2.0,1352.0,352.0,0.2603550295857988,1704.0,False,Republican,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0
10,ALASKA,2019,6.0,6.0,1.0,1384.0,449.0,0.32442196531791906,1833.0,False,Republican,0.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
